created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,barrio
2017-09-22,house,Palermo Viejo,|Argentina|Capital Federal|Palermo|Palermo Viejo|,-34.5889531469,-58.4298817776,2000000.0,312.0,,6410.25641025641,,,,https://www.properati.com.ar/2os_venta_casa_palermo-viejo_rent-ba,PALERMO
2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.588912403,-58.413494218500006,340000.0,130.0,120.0,2615.384615384615,,4.0,8000.0,https://www.properati.com.ar/1dzv6_venta_departamento_palermo_guemes_3600_balcon_suite_jardin_lavadero_luminoso_lujoso_dependencias_placard_doble-circulacion_subte-linea-d_luisio-propiedades-suc-virrey-del-pino-2378,PALERMO
2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.577032700000004,-58.423367500000005,222000.0,52.0,48.0,4269.2307692307695,,1.0,,https://www.properati.com.ar/1e05k_venta_departamento_palermo_juncal-al-4500_gimnasio_jardin_lavadero_parrilla_piscina_sum_aire-acondicionado_subte-linea-h_subte-linea-c_deptos-temporarios,PALERMO
2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5950139,-58.427391500000006,180000.0,70.0,70.0,2571.428571428572,,,3000.0,https://www.properati.com.ar/1e0mq_venta_departamento_palermo_julian-alvarez-al-1200_lavadero_amoblado_sanchez-carrizo-real-estate,PALERMO
2017-08-30,house,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.579353499999996,-58.436448899999995,1200000.0,532.0,334.0,2255.639097744361,,6.0,,https://www.properati.com.ar/1e1ve_venta_casa_palermo-hollywood_jardin_lavadero_piscina_luminoso_vista_garage_nexo-propiedades_h0z,PALERMO
2017-08-30,house,Palermo,|Argentina|Capital Federal|Palermo|,-34.579353499999996,-58.436448899999995,1200000.0,532.0,334.0,2255.639097744361,,6.0,,https://www.properati.com.ar/1e1vf_venta_casa_palermo_jardin_lavadero_piscina_luminoso_vista_garage_nexo-propiedades_h0z,PALERMO
2017-08-30,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5809281,-58.4404321,270000.0,67.0,64.0,4029.850746268657,,3.0,3900.0,https://www.properati.com.ar/1e1x0_venta_departamento_palermo-hollywood_arevalo_1700_balcon_toilette_luminoso_apto-credito-hipotecario_yankel-group,PALERMO
2017-08-30,PH,Palermo Soho,|Argentina|Capital Federal|Palermo|Palermo Soho|,-34.5897765,-58.428557999999995,219000.0,72.0,,3041.666666666666,,3.0,,https://www.properati.com.ar/1e1xj_venta_ph_palermo-soho_honduras_4800_patio_luminoso_ojo-propiedades,PALERMO
2017-08-30,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.594251,-58.416644700000006,250000.0,67.0,60.0,3731.343283582089,,2.0,,https://www.properati.com.ar/1e2mz_venta_departamento_palermo_balcon_lavadero_parrilla_piscina_aire-acondicionado_apto-credito-hipotecario_ageo-propiedades_dwr,PALERMO
2017-08-31,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5722218,-58.4211164,2600000.0,400.0,400.0,6500.0,,5.0,20000.0,https://www.properati.com.ar/1e3ol_venta_departamento_palermo_balcon_suite_lavadero_toilette_vestidor_luminoso_vista_sauna_lujoso_dependencias_garage_placard_covello-propiedades_9ij,PALERMO
